Area Acre,Area SqM,District,Geometry,Name Alias,New Camp N,Number of Records,Ssid,Settlement,Union,Upazila,Level of camp
131,528398,Cox's Bazar,POLYGON,Bagghona-Putibonia,Camp 16,1,CXB-224,Collective site,Palong Khali,Ukhia,Camp 16(Bagghona-Putibonia)
97,390853,Cox's Bazar,POLYGON,,Camp 2E,1,CXB-203,Collective site,Palong Khali,Ukhia,Camp 2E
176,714085,Cox's Bazar,POLYGON,Gundum,Camp 7,1,CXB-207,Collective site,Palong Khali,Ukhia,Camp 7(Gundum)
243,984412,Cox's Bazar,POLYGON,Jamtoli-Baggona,Camp 15,1,CXB-223,Collective site,Palong Khali,Ukhia,Camp 15(Jamtoli-Baggona)
96,387319,Cox's Bazar,POLYGON,Kutupalong RC,Kutupalong RC,1,CXB-221,Collective site,Raja Palong,Ukhia,Kutupalong RC(Kutupalong RC)
160,649083,Cox's Bazar,POLYGON,,Camp 9,1,CXB-213,Collective site,Palong Khali,Ukhia,Camp 9
123,496145,Cox's Bazar,POLYGON,,Camp 10,1,CXB-214,Collective site,Palong Khali,Ukhia,Camp 10
186,751677,Cox's Bazar,POLYGON,,Camp 18,1,CXB-215,Collective site,Palong Khali,Ukhia,Camp 18
191,772181,Cox's Bazar,POLYGON,,Camp 8W,1,CXB-211,Collective site,Palong Khali,Ukhia,Camp 8W
112,453561,Cox's Bazar,POLYGON,Modur Chora,Camp 3,1,CXB-205,Collective site,Palong Khali,Ukhia,Camp 3(Modur Chora)
152,615297,Cox's Bazar,POLYGON,,Camp 5,1,CXB-209,Collective site,Palong Khali,Ukhia,Camp 5
189,766669,Cox's Bazar,POLYGON,Tasnimarkhola,Camp 19,1,CXB-219,Collective site,Palong Khali,Ukhia,Camp 19(Tasnimarkhola)
132,534394,Cox's Bazar,POLYGON,,Camp 1W,1,CXB-202,Collective site,Palong Khali,Ukhia,Camp 1W
89,361088,Cox's Bazar,POLYGON,,Camp 6,1,CXB-208,Collective site,Palong Khali,Ukhia,Camp 6
212,856841,Cox's Bazar,POLYGON,Hakimpara,Camp 14,1,CXB-222,Collective site,Palong Khali,Ukhia,Camp 14(Hakimpara)
97,391861,Cox's Bazar,POLYGON,,Camp 2W,1,CXB-204,Collective site,Palong Khali,Ukhia,Camp 2W
115,466019,Cox's Bazar,POLYGON,,Camp 11,1,CXB-217,Collective site,Palong Khali,Ukhia,Camp 11
156,631138,Cox's Bazar,POLYGON,,Camp 12,1,CXB-218,Collective site,Palong Khali,Ukhia,Camp 12
157,633583,Cox's Bazar,POLYGON,Lambashia,Camp 1E,1,CXB-201,Collective site,Palong Khali,Ukhia,Camp 1E(Lambashia)
186,753767,Cox's Bazar,POLYGON,Tasnimarkhola-Burmapara,Camp 13,1,CXB-220,Collective site,Palong Khali,Ukhia,Camp 13(Tasnimarkhola-Burmapara)
236,954134,Cox's Bazar,POLYGON,,Camp 17,1,CXB-212,Collective site,Palong Khali,Ukhia,Camp 17
335,1355398,Cox's Bazar,POLYGON,Shamlapur,Camp 23,1,CXB-032,Collective site with host community,Baharchhara,Teknaf,Camp 23(Shamlapur)
138,557071,Cox's Bazar,POLYGON,Unchiprang,Camp 22,1,CXB-085,Collective site,Whykong,Teknaf,Camp 22(Unchiprang)
279,1129513,Cox's Bazar,MULTIPOLYGON,Alikhali,Camp 25,1,CXB-017,Collective site with host community,Nhilla,Teknaf,Camp 25(Alikhali)
330,1334319,Cox's Bazar,POLYGON,Jadimura,Camp 27,1,CXB-037,Collective site with host community,Nhilla,Teknaf,Camp 27(Jadimura)
292,1180842,Cox's Bazar,POLYGON,Leda,Camp 24,1,CXB-233,Collective site with host community,Nhilla,Teknaf,Camp 24(Leda)
425,1720942,Cox's Bazar,POLYGON,Nayapara,Camp 26,1,CXB-025,Collective site with host community,Nhilla,Teknaf,Camp 26(Nayapara)
100,404122,Cox's Bazar,MULTIPOLYGON,Chakmarkul,Camp 21,1,CXB-108,Collective site,Whykong,Teknaf,Camp 21(Chakmarkul)
80,322311,Cox's Bazar,MULTIPOLYGON,Nayapara RC,Nayapara RC,1,CXB-089,Collective site,Nhilla,Teknaf,Nayapara RC(Nayapara RC)
121,489106,Cox's Bazar,POLYGON,,Camp 20,1,CXB-216,Collective site,Palong Khali,Ukhia,Camp 20
236,956609,Cox's Bazar,POLYGON,Jomer Chora,Camp 8E,1,CXB-210,Collective site,Palong Khali,Ukhia,Camp 8E(Jomer Chora)
123,497476,Cox's Bazar,POLYGON,Camp 4 Extension,Camp 4 Extension,1,CXB-232,Collective site,Palong Khali,Ukhia,Camp 4 Extension(Camp 4 Extension)
285,1155140,Cox's Bazar,POLYGON,Camp 4,Camp 4,1,CXB-206,Collective site,Palong Khali,Ukhia,Camp 4(Camp 4)
190,769036,Cox's Bazar,POLYGON,Camp 20 Extension,Camp 20 Extension,1,CXB-234,Collective site,Palong Khali,Ukhia,Camp 20 Extension(Camp 20 Extension)
122,494191,Cox's Bazar,POLYGON,Choukhali,Choukhali,1,CXB-235,Collective site,Whykong,Ukhia,Choukhali(Choukhali)
